epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.4154,1.00137,9.37998,0.58862,0.85671,1.4254,0.82769,0.89607,0.9145,0.57998,0.02004,0.02231,0.00072,8e-05,1.14233,7.75726,0.54072,0.9315,1.75278,0.000665094,0.000665094,0.000665094
2,185.333,1.06999,8.09943,0.48196,0.864,1.4677,0.84961,0.86913,0.9164,0.55609,0.07871,0.08514,0.00926,0.00117,1.19236,7.1052,0.5042,0.88558,1.78934,0.00130539,0.00130539,0.00130539
3,275.524,1.0787,7.71134,0.43552,0.87949,1.46693,0.84844,0.86671,0.90383,0.5661,0.13222,0.11216,0.02627,0.00422,1.1889,6.94421,0.48524,0.87004,1.79967,0.00191929,0.00191929,0.00191929
4,365.44,1.05225,7.53293,0.41109,0.85011,1.45451,0.89459,0.90199,0.95594,0.66397,0.24375,0.22431,0.07608,0.01185,0.99084,6.27503,0.43419,0.67745,1.55851,0.0018812,0.0018812,0.0018812
5,454.595,0.99523,7.23702,0.39753,0.79394,1.40455,0.9029,0.94363,0.96738,0.70819,0.28529,0.26541,0.10157,0.01625,0.91166,5.92902,0.41232,0.61975,1.46925,0.0018416,0.0018416,0.0018416
6,543.893,0.95064,6.9341,0.3869,0.75543,1.36972,0.91771,0.93649,0.96722,0.69558,0.37103,0.3347,0.17107,0.02875,0.9413,5.69939,0.44679,0.59864,1.50945,0.001802,0.001802,0.001802
7,633.143,0.92676,6.7547,0.37717,0.74024,1.35523,0.92772,0.94208,0.96821,0.71515,0.38691,0.35291,0.19524,0.0334,0.90049,5.58441,0.38848,0.59941,1.43773,0.0017624,0.0017624,0.0017624
8,722.24,0.90815,6.61614,0.3739,0.71523,1.34216,0.93357,0.96547,0.97378,0.75048,0.44752,0.41398,0.24199,0.04251,0.8071,5.33145,0.39595,0.52809,1.36902,0.0017228,0.0017228,0.0017228
9,811.677,0.8871,6.49812,0.36772,0.70585,1.33051,0.93304,0.94539,0.95871,0.72362,0.46963,0.43746,0.26811,0.048,0.80661,5.23831,0.39947,0.5503,1.38483,0.0016832,0.0016832,0.0016832
10,900.794,0.87496,6.35976,0.36042,0.6784,1.31812,0.93678,0.93975,0.96845,0.74624,0.49369,0.46682,0.29452,0.06103,0.78359,5.10393,0.39773,0.51698,1.34646,0.0016436,0.0016436,0.0016436
